References	Qty	Description	Manufacturer	Part Number	Manufacturer	Part Number	Mouser	Digikey	RS	Newark	Farnell
C1, C7	2	22µF MLCC 1206	TDK	C3216X5R1A226M160AC	AVX	12066C226KAT2A	810-C3216X5R1A226M	445-6004-1-ND			
C2, C5, C6	3	0.1µF MLCC 0603	TDK	C1608X5R1H104K080AA			810-C1608X5R1H104K	445-7456-1-ND			
C3	1	10nF MLCC 0603	TDK	C1608C0G1H103J080AA	Kemet	C0603S103K3RACTU	80-C0603S103K3R	445-7404-1-ND			
C4	1	4.7µF MLCC 0805	Taiyo Yuden	TMK212BJ475KG-T			963-TMK212BJ475KG-T	587-1782-1-ND			
L1	1	22µH 4mm	Abracon	ASPI-0418FS-220M	Bourns	SRN4018-220M	815-ASPI418FS220MT3	535-10764-1-ND			
L2	1	10µH 1008	TDK	MLP2520S100ST0S1			810-MLP2520S100ST0S1	445-9507-1-ND			
P1, P2, P3	3	2.54mm 2pin header	TE Connectivity	3-644695-2			571-3-644695-2	A30916-ND			
R1	1	Resistor 7.87M 0603	Vishay	CRCW06037M87FK	Samsung Electro-Mechanics	RC1608F7874CS	71-CRCW06037M87FKEA	1276-4983-1-ND			
R2	1	Resistor 6.04M 0603	Vishay	CRCW06036M04FK			71-CRCW06036M04FKEA	541-6.04MHCT-ND			
R3	1	Resistor 0.698M 0603	Vishay	CRCW0603698KFK			71-CRCW0603-698K-E3	541-698KHCT-ND			
R4	1	Resistor 8.06M 0603	Vishay	CRCW06038M06FK			71-CRCW0603-8.06M-E3	541-8.06MHCT-ND			
R5	1	Resistor 4.22M 0603	Vishay	CRCW06034M22FK	Samsung Electro-Mechanics	RC1608F4224CS	71-CRCW06034M22FKEA	1276-4967-1-ND			
R6	1	Resistor 6.65M 0603	Vishay	CRCW06036M65FK			71-CRCW06036M65FKEA	541-6.65MHCT-ND			
R7	1	Resistor 6.19M 0603	Vishay	CRCW06036M19FK	Samsung Electro-Mechanics	RC1608F6194CS	71-CRCW06036M19FKEA	1276-4977-1-ND			
U1	1	Converter QFN-20	TI	BQ25570RGR			595-BQ25570RGRR	296-37014-1-ND			
